tag,step,value
rollout/ep_len_mean,247808,170.30999755859375
rollout/ep_len_mean,249856,170.30999755859375
rollout/ep_len_mean,251904,170.30999755859375
rollout/ep_len_mean,253952,170.30999755859375
rollout/ep_len_mean,256000,170.30999755859375
rollout/ep_len_mean,258048,170.30999755859375
rollout/ep_len_mean,260096,170.30999755859375
rollout/ep_len_mean,262144,170.30999755859375
rollout/ep_len_mean,264192,170.30999755859375
rollout/ep_len_mean,266240,170.30999755859375
rollout/ep_len_mean,268288,170.30999755859375
rollout/ep_len_mean,270336,170.30999755859375
rollout/ep_len_mean,272384,170.30999755859375
rollout/ep_len_mean,274432,170.30999755859375
rollout/ep_len_mean,276480,170.30999755859375
rollout/ep_len_mean,278528,170.30999755859375
rollout/ep_len_mean,280576,170.30999755859375
rollout/ep_len_mean,282624,170.30999755859375
rollout/ep_len_mean,284672,170.30999755859375
